
JR Hazlewood,2,0,17,0,8.50,7,4,0,0,0
Imran Tahir,3,0,22,0,7.33,6,0,2,0,0
SN Thakur,2.2,0,26,0,11.14,4,2,2,0,0
RA Jadeja,1,0,15,0,15.00,1,0,2,0,0

Sandeep Sharma,4,0,31,0,7.75,8,3,1,0,0
JO Holder,4,0,33,3,8.25,11,3,1,2,0
V Shankar,3,0,15,1,5.00,8,1,0,0,0
T Natarajan,4,0,46,0,11.50,5,4,2,1,0
Rashid Khan,4,0,20,1,5.00,9,0,0,0,0
S Nadeem,1,0,9,0,9.00,0,1,0,0,0

JC Archer,4,0,21,2,5.25,16,4,0,1,0
AS Rajpoot,1,0,11,0,11.00,4,1,1,1,0
Kartik Tyagi,3.1,0,42,0,13.26,7,4,3,2,0
BA Stokes,2,0,24,0,12.00,5,0,3,1,0
S Gopal,4,0,32,0,8.00,7,3,1,0,0
R Tewatia,4,0,25,0,6.25,6,0,1,0,0

CH Morris,4,1,16,0,4.00,15,1,0,1,0
Mohammed Siraj,4,2,8,3,2.00,16,0,0,0,0
NA Saini,3,0,23,1,7.66,11,2,2,0,0
I Udana,1,0,6,0,6.00,3,1,0,0,0
YS Chahal,4,0,15,2,3.75,13,1,0,0,0
Washington Sundar,4,1,14,1,3.50,14,1,0,0,0

PJ Cummins,3,0,18,0,6.00,9,2,0,1,0
M Prasidh Krishna,2.3,0,20,0,8.00,5,2,0,1,0
CV Varun,4,0,28,0,7.00,11,5,0,0,0
LH Ferguson,4,0,17,1,4.25,14,2,0,1,0

GJ Maxwell,4,0,31,1,7.75,5,2,1,0,0
Mohammed Shami,4,0,28,2,7.00,12,4,0,2,0
Arshdeep Singh,3,0,30,0,10.00,4,3,1,0,0
JDS Neesham,2,0,17,1,8.50,4,1,1,0,0
M Ashwin,4,0,33,1,8.25,5,2,1,1,0
Ravi Bishnoi,3,0,24,0,8.00,5,2,1,0,0

DR Sams,4,0,30,0,7.50,10,1,2,1,1
K Rabada,4,0,27,2,6.75,9,3,0,1,0
AR Patel,4,0,27,1,6.75,8,2,1,0,0
TU Deshpande,2,0,41,0,20.50,2,5,3,1,0
R Ashwin,4,0,27,1,6.75,9,2,0,1,0
MP Stoinis,1,0,14,0,14.00,2,1,1,1,0

JC Archer,4,0,20,1,5.00,11,2,0,0,0
AS Rajpoot,1,0,8,0,8.00,2,1,0,0,0
Kartik Tyagi,4,0,35,1,8.75,11,7,0,1,0
BA Stokes,3,0,27,0,9.00,4,2,1,0,0
S Gopal,4,0,14,1,3.50,12,0,0,0,0
R Tewatia,4,0,18,1,4.50,11,0,0,0,1

DL Chahar,4,1,18,2,4.50,17,2,0,0,0
JR Hazlewood,4,0,19,1,4.75,14,2,0,0,0
RA Jadeja,1.3,0,11,0,7.33,2,1,0,0,0
SN Thakur,4,0,34,0,8.50,8,3,1,1,0
SM Curran,1,0,6,0,6.00,2,0,0,0,0
PP Chawla,3,0,32,0,10.66,5,4,1,0,0

GJ Maxwell,4,0,24,0,6.00,9,3,0,0,0
Mohammed Shami,4,0,30,2,7.50,12,4,0,0,0
Arshdeep Singh,3,0,35,2,11.66,8,3,3,1,0
CJ Jordan,3,0,32,1,10.66,6,1,3,0,0
M Ashwin,3,0,28,0,9.33,7,4,1,0,0
DJ Hooda,1,0,9,0,9.00,2,0,1,0,0
Ravi Bishnoi,2,0,12,1,6.00,5,0,1,0,0

TA Boult,4,0,48,0,12.00,6,6,2,1,0
KH Pandya,2,0,12,0,6.00,5,1,0,0,0
JJ Bumrah,4,0,24,3,6.00,12,1,1,1,0
NM Coulter-Nile,4,0,33,0,8.25,9,3,1,0,0
KA Pollard,2,0,26,0,13.00,3,1,2,2,0
RD Chahar,4,0,33,2,8.25,9,2,2,0,0

Sandeep Sharma,4,0,27,0,6.75,6,1,1,0,0
Basil Thampi,4,0,46,1,11.50,5,6,1,0,0
T Natarajan,4,0,40,2,10.00,9,4,2,0,1
V Shankar,4,0,20,1,5.00,13,3,0,0,0
Rashid Khan,4,0,28,1,7.00,9,2,1,0,0

PJ Cummins,4,0,28,1,7.00,13,3,1,0,0
Shivam Mavi,3,0,34,1,11.33,6,5,1,1,0
CV Varun,4,0,32,1,8.00,7,4,0,0,0
AD Russell,2,0,29,0,14.50,3,6,0,0,1
LH Ferguson,4,0,15,3,3.75,13,0,0,0,0
Kuldeep Yadav,3,0,18,0,6.00,5,0,0,1,0

TU Deshpande,4,0,39,1,9.75,9,3,2,2,0
K Rabada,4,1,33,1,8.25,12,3,2,1,1
AR Patel,4,0,23,0,5.75,5,1,0,0,0
A Nortje,4,0,44,2,11.00,10,3,4,0,0
R Ashwin,3,0,30,0,10.00,5,3,1,0,0
MP Stoinis,1,0,10,0,10.00,1,0,1,0,0
